club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
105,sv-darmstadt-98,SV Darmstadt 98,L1,,27,25.6,13,48.1,1,Merck-Stadion am Böllenfalltor,17810,+€3.05m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
12,as-rom,Roma,IT1,,26,26.3,18,69.2,17,Olimpico di Roma,70634,€-76.90m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/as-rom/startseite/verein/12
148,tottenham-hotspur,Tottenham,GB1,,30,25.5,21,70.0,18,Tottenham Hotspur Stadium,62850,€-120.05m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/tottenham-hotspur/startseite/verein/148
269,holstein-kiel,Holstein Kiel,L1,,29,26.3,11,37.9,4,Holstein-Stadion,15034,€-6.20m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/holstein-kiel/startseite/verein/269
4795,fc-ingolstadt-04,FC Ingolstadt 04,L1,,28,24.3,8,28.6,1,Audi Sportpark,15800,+€1.55m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/fc-ingolstadt-04/startseite/verein/4795
5358,sd-huesca,SD Huesca,ES1,,24,27.5,8,33.3,2,El Alcoraz,9128,+€1.43m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/sd-huesca/startseite/verein/5358
603,cardiff-city,Cardiff City,GB1,,28,25.5,24,85.7,8,Cardiff City Stadium,33280,€-655k,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/cardiff-city/startseite/verein/603
969,montpellier-hsc,Montpellier,FR1,,25,26.7,15,60.0,6,Stade de la Mosson,22000,+€27.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
989,afc-bournemouth,Bournemouth,GB1,,25,24.9,18,72.0,15,Vitality Stadium,11307,€-60.79m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/afc-bournemouth/startseite/verein/989
993,fc-cordoba,Córdoba CF,ES1,,24,27.9,4,16.7,0,Nuevo Arcángel,21822,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
1025,fc-bologna,Bologna,IT1,,28,26.3,19,67.9,14,Stadio Renato Dall’Ara,36462,+€51.67m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
1082,losc-lille,Lille,FR1,,26,27.3,18,69.2,12,Decathlon Arena-Stade Pierre-Mauroy,50186,+€39.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1160,nimes-olympique,Nîmes Olympique,FR1,,26,25.4,12,46.2,3,Stade des Antonins,8033,+€2.50m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/nimes-olympique/startseite/verein/1160
3008,hull-city,Hull City,GB1,,28,25.0,17,60.7,6,MKM Stadium,25586,+€7.50m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/hull-city/startseite/verein/3008
31,fc-liverpool,Liverpool,GB1,,25,26.6,18,72.0,22,Anfield,61276,+€5.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-liverpool/startseite/verein/31
3911,stade-brest-29,Brest,FR1,,27,26.9,11,40.7,5,Stade Francis-Le Blé,15220,€-5.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/stade-brest-29/startseite/verein/3911
4,1-fc-nurnberg,1.FC Nuremberg,L1,,33,25.2,7,21.2,2,Max-Morlock-Stadion,50000,+€2.63m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
410,udinese-calcio,Udinese,IT1,,30,26.0,26,86.7,10,Bluenergy Stadium,25144,€-270k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/udinese-calcio/startseite/verein/410
595,sc-bastia,SC Bastia,FR1,,25,27.6,8,32.0,6,Stade Armand-Cesari,16480,+€480k,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/sc-bastia/startseite/verein/595
1010,fc-watford,Watford FC,GB1,,30,26.3,24,80.0,12,Vicarage Road,21577,+€42.02m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1108,deportivo-alaves,Alavés,ES1,,25,26.5,10,40.0,4,Mendizorroza,19840,+€9.79m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/deportivo-alaves/startseite/verein/1108
1158,fc-lorient,FC Lorient,FR1,,30,25.0,17,56.7,8,Stade du Moustoir,16787,+€4.80m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/fc-lorient/startseite/verein/1158
13,atletico-madrid,Atlético Madrid,ES1,,23,29.3,16,69.6,16,Riyadh Air Metropolitano,70460,€-91.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/atletico-madrid/startseite/verein/13
131,fc-barcelona,Barcelona,ES1,,26,25.0,8,30.8,14,Olímpic Lluís Companys,55926,+€6.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-barcelona/startseite/verein/131
18,borussia-monchengladbach,Gladbach,L1,,26,26.4,14,53.8,12,Stadion im Borussia-Park,54042,€-7.70m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/borussia-monchengladbach/startseite/verein/18
2036,1-fc-heidenheim-1846,Heidenheim,L1,,28,26.9,4,14.3,1,Voith-Arena,15000,+€7.45m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/1-fc-heidenheim-1846/startseite/verein/2036
273,fc-stade-rennes,Rennes,FR1,,30,25.2,17,56.7,11,Roazhon Park,29778,+€22.35m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
366,real-valladolid,Valladolid,ES1,,26,27.0,18,69.2,7,José Zorrilla,27618,+€975k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/real-valladolid/startseite/verein/366
458,palermo-fc,Palermo FC,IT1,,28,25.6,7,25.0,4,"Comunale Renzo Barbera ""La Favorita""",36365,€-7.94m,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/palermo-fc/startseite/verein/458
46,inter-mailand,Inter,IT1,,25,29.4,18,72.0,18,Giuseppe Meazza,75923,€-75.91m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/inter-mailand/startseite/verein/46
995,fc-nantes,Nantes,FR1,,26,27.1,13,50.0,8,Stade de la Beaujoire,35322,+€1.05m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995
1003,leicester-city,Leicester City,GB1,,29,26.9,21,72.4,15,King Power Stadium,32259,€-41.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003
1047,como-1907,Como,IT1,,32,26.6,23,71.9,6,Giuseppe Sinigaglia,13602,€-93.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/como-1907/startseite/verein/1047
1237,brighton-amp-hove-albion,Brighton,GB1,,28,26.2,20,71.4,17,AMEX Stadium,31876,€-229.96m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/brighton-amp-hove-albion/startseite/verein/1237
2969,dijon-fco,Dijon FCO,FR1,,29,25.8,14,48.3,4,Stade Gaston-Gérard,16098,+€1.50m,,2020,../data/raw/transfermarkt-scraper/2020/clubs.json.gz,https://www.transfermarkt.co.uk/dijon-fco/startseite/verein/2969
3522,spezia-calcio,Spezia Calcio,IT1,,32,24.4,25,78.1,11,Alberto Picco,11676,€-3.95m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/spezia-calcio/startseite/verein/3522
40,fc-girondins-bordeaux,FC Girondins Bordeaux,FR1,,26,22.7,13,50.0,6,Matmut Atlantique,42115,+€12.70m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/fc-girondins-bordeaux/startseite/verein/40
6195,ssc-neapel,Napoli,IT1,,25,28.0,14,56.0,14,Diego Armando Maradona,54726,€-69.00m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195
82,vfl-wolfsburg,Wolfsburg,L1,,30,25.7,21,70.0,14,Volkswagen Arena,28917,€-19.05m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82
1050,fc-villarreal,Villarreal,ES1,,24,27.4,11,45.8,11,La Cerámica,23500,+€11.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
1147,ac-ajaccio,AC Ajaccio,FR1,,24,27.5,11,45.8,6,Stade François-Coty,10446,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147
130,parma-calcio-1913,Parma,IT1,,31,24.8,24,77.4,9,Ennio Tardini,22352,€-40.35m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/parma-calcio-1913/startseite/verein/130
1429,cesena-fc,Cesena FC,IT1,,28,26.0,4,14.3,0,Orogel Stadium - Dino Manuzzi,23860,+€335k,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/cesena-fc/startseite/verein/1429
15,bayer-04-leverkusen,Leverkusen,L1,,26,26.8,20,76.9,16,BayArena,30210,€-21.85m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/bayer-04-leverkusen/startseite/verein/15
2722,spal,SPAL,IT1,,32,26.0,8,25.0,2,Paolo Mazza,16134,+€2.75m,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/spal/startseite/verein/2722
276,hellas-verona,Hellas Verona,IT1,,32,25.3,24,75.0,7,Marcantonio Bentegodi,39211,+€29.02m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/hellas-verona/startseite/verein/276
703,nottingham-forest,Nott'ham Forest,GB1,,24,27.2,19,79.2,12,The City Ground,30404,€-18.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/nottingham-forest/startseite/verein/703
80,vfl-bochum,Bochum,L1,,27,27.4,13,48.1,4,Vonovia Ruhrstadion,26000,+€4.80m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80
1031,luton-town,Luton Town,GB1,,30,26.1,16,53.3,7,Kenilworth Road,11850,+€9.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/luton-town/startseite/verein/1031
1071,wigan-athletic,Wigan Athletic,GB1,,26,24.0,8,30.8,2,DW Stadium,25133,+€290k,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
1110,huddersfield-town,Huddersfield Town,GB1,,33,26.7,12,36.4,3,John Smith's Stadium,24500,+€11.28m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/huddersfield-town/startseite/verein/1110
1159,as-nancy-lorraine,AS Nancy-Lorraine,FR1,,27,25.7,5,18.5,0,Stade Marcel-Picot,20087,+-0,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/as-nancy-lorraine/startseite/verein/1159
1421,stade-reims,Reims,FR1,,25,24.9,19,76.0,8,Stade Auguste-Delaune,20519,+€39.35m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/stade-reims/startseite/verein/1421
1423,fc-valenciennes,Valenciennes FC,FR1,,30,23.6,15,50.0,5,Stade du Hainaut,25000,+€2.52m,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/fc-valenciennes/startseite/verein/1423
162,as-monaco,Monaco,FR1,,26,24.4,26,100.0,12,Stade Louis-II,18525,€-41.25m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162
24,eintracht-frankfurt,Eint Frankfurt,L1,,27,25.4,20,74.1,10,Deutsche Bank Park,58000,+€48.19m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/eintracht-frankfurt/startseite/verein/24
331,ca-osasuna,Osasuna,ES1,,22,28.5,2,9.1,3,El Sadar,23576,+€700k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/ca-osasuna/startseite/verein/331
3709,fc-getafe,Getafe,ES1,,24,27.2,10,41.7,4,Coliseum,16800,+€21.60m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
750,fc-sochaux-montbeliard,FC Sochaux-Montbéliard,FR1,,29,23.0,9,31.0,1,Stade Auguste-Bonal,20005,+€6.30m,,2013,../data/raw/transfermarkt-scraper/2013/clubs.json.gz,https://www.transfermarkt.co.uk/fc-sochaux-montbeliard/startseite/verein/750
762,newcastle-united,Newcastle Utd,GB1,,27,28.7,11,40.7,13,St James' Park,52258,+€21.35m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/newcastle-united/startseite/verein/762
1041,olympique-lyon,Lyon,FR1,,23,26.6,16,69.6,12,Groupama Stadium,59186,€-79.74m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
1084,fc-malaga,Málaga CF,ES1,,27,27.9,8,29.6,0,La Rosaleda,30044,+€950k,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
1148,fc-brentford,Brentford,GB1,,26,25.4,21,80.8,12,Gtech Community Stadium,17250,€-23.90m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148
1162,sm-caen,SM Caen,FR1,,27,25.7,12,44.4,4,Stade Michel-d'Ornano,20500,+€3.05m,,2018,../data/raw/transfermarkt-scraper/2018/clubs.json.gz,https://www.transfermarkt.co.uk/sm-caen/startseite/verein/1162
142,real-saragossa,Real Zaragoza,ES1,,23,26.0,6,26.1,1,La Romareda,33608,+€30k,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/real-saragossa/startseite/verein/142
16,borussia-dortmund,Dortmund,L1,,28,25.2,14,50.0,18,SIGNAL IDUNA PARK,81365,€-30.60m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/borussia-dortmund/startseite/verein/16
2288,swansea-city,Swansea City,GB1,,22,24.8,17,77.3,4,Swansea.com Stadium,21088,+€8.35m,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/swansea-city/startseite/verein/2288
237,rcd-mallorca,Mallorca,ES1,,24,28.9,10,41.7,7,Mallorca Son Moix,26020,+€11.65m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/rcd-mallorca/startseite/verein/237
35,fc-st-pauli,St. Pauli,L1,,34,26.6,19,55.9,9,Millerntor-Stadion,29546,€-750k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-st-pauli/startseite/verein/35
