Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Gls,Ast,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,Sh/90,SoT,SoT/90,G/Sh,KP,PPA,Tkl,Tkl%,Int,SCA,SCA90,Carries,PrgDist_stats_possession,Recov
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,0,0,0,0,0,0,0,0,1,8,3,0,0,0,0,,0,0,2,100,1,2,2.09,41,68,7
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,0,0,0,0,0,0,0,0.02,0,6,10,0,0,0,0,,1,0,4,80,0,1,0.75,46,103,7
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0,0,0.1,0.1,0,0.1,0,0.1,3,2,3,1,1.38,0,0,0,0,0,3,100,1,0,0,13,67,2
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,0,0,0.1,0.1,0,0.1,0,0.06,3,4,1,1,1.02,0,0,0,0,0,4,66.7,1,1,1.02,29,165,7
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,100,0,0,0,1,9,0
6,Yunis Abdelhamid,ma MAR,DF,Saint-_tienne,fr Ligue 1,36,1987,0,0,0.2,0.2,0.1,0.4,0,0.03,4,22,3,2,0.17,1,0.09,0,2,0,17,62.5,14,6,0.55,322,837,42
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,6,1,6.4,3.2,3.2,6.4,0.13,0.3,107,207,111,35,1.11,8,0.25,0.09,39,38,48,31.3,26,94,2.98,1183,4388,193
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,0,0,0,0,0,0,0,0,6,52,5,0,0,0,0,,0,1,21,59.1,15,8,0.84,342,822,50
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,5,2,4.3,4.3,1.9,6.2,0.45,0.4,35,42,101,29,1.87,11,0.71,0.17,20,21,43,65.1,20,45,2.91,391,1003,72
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,0,1,0,0,0.2,0.2,0.44,0.09,6,9,26,1,0.44,0,0,0,2,4,3,100,2,6,2.65,90,175,3
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,2,0,0.5,0.5,1,1.6,0.09,0.07,50,77,92,12,0.52,4,0.17,0.17,16,18,61,61.9,18,39,1.69,605,1792,106
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,0,0,0,0,0,0.1,0,0.02,2,6,2,2,0.68,0,0,0,1,2,6,100,0,3,1.03,34,74,8
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,9,2,8.5,7.7,3.8,11.5,0.33,0.4,75,48,169,73,2.37,26,0.85,0.11,27,15,11,33.3,4,61,1.98,587,1743,83
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,1,1,0.6,0.6,1.1,1.7,0.17,0.14,31,66,55,7,0.58,3,0.25,0.14,11,11,29,65.6,5,25,2.06,426,1239,45
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,7,2,10.2,8.6,1.6,10.2,0.38,0.56,34,22,164,62,2.94,26,1.23,0.1,12,10,22,17.4,6,34,1.61,375,880,61
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,0,1,0.9,0.9,0.3,1.2,0.04,0.04,16,79,4,12,0.44,1,0.04,0,8,10,36,58.8,39,25,0.91,632,2013,87
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0,0,0,0,0,0,0,3,1,0
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,3,4,7.1,5.4,2.2,7.6,0.46,0.7,8,26,69,26,1.98,11,0.84,0.08,14,10,17,75,2,33,2.51,158,205,12
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,5,18,1
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,0,1,0.4,0.4,0.6,1,0.05,0.05,19,62,22,5,0.26,1,0.05,0,9,8,23,64.7,26,20,1.05,915,2128,62
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,0,0,0.2,0.2,0,0.2,0,0.12,0,8,0,2,1.06,0,0,0,0,0,2,100,1,2,1.06,106,409,7
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,0,0,0.4,0.4,0,0.4,0,0.29,0,5,5,2,1.34,1,0.67,0,0,1,0,,0,0,0,5,0,4
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,3,1,4.3,4.3,1,5.3,0.33,0.44,11,6,45,26,2.18,12,1,0.12,12,0,4,75,1,25,2.09,126,279,24
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,9,3,9,8.2,2,10.2,0.41,0.37,23,40,153,63,2.14,25,0.85,0.14,26,7,12,14.3,2,63,2.14,509,702,50
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,0,3,1.6,1.6,1,2.6,0.14,0.12,14,76,10,9,0.41,2,0.09,0,18,4,83,54.2,32,41,1.88,663,1447,114
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,2,2,5.5,5.5,2.4,7.9,0.23,0.46,8,14,84,36,2.1,11,0.64,0.06,17,8,9,27.3,12,29,1.69,275,349,52
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,1,1,0.9,0.9,0.2,1.2,0.13,0.07,5,42,1,13,0.83,2,0.13,0.08,1,1,17,66.7,11,15,0.96,777,1809,41
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,1,50,0,0,0,6,9,0
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,7,6,5.5,5.5,6,11.5,0.82,0.72,68,28,153,46,2.89,18,1.13,0.15,28,19,20,40,7,57,3.58,417,1543,48
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,2,2,2.5,2.5,2.5,4.9,0.33,0.4,50,18,136,33,2.71,8,0.66,0.06,16,17,23,38.5,8,47,3.86,366,1300,47
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,2,0,2.7,2.7,0.7,3.4,0.23,0.4,37,24,100,20,2.35,7,0.82,0.1,11,15,15,36.4,0,29,3.41,248,838,30
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,4,6,1,1,2.4,3.4,0.73,0.25,24,103,30,14,1.02,5,0.36,0.29,23,16,32,43.6,6,50,3.64,618,1680,77
34,Adrián,es ESP,GK,Betis,es La Liga,37,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,390,1161,20
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,,1,0,0,1,0,0
36,Vasilije Adži_,me MNE,"MF,FW",Juventus,it Serie A,18,2006,0,0,0,0,0,0,0,0.05,0,1,3,1,2.14,1,2.14,0,0,1,2,0,0,2,4.29,14,10,3
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,0,0,0.4,0.4,0.4,0.8,0,0.09,8,33,17,10,1.24,5,0.62,0,8,5,18,71.4,7,18,2.23,291,508,35
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,3,1,3.1,3.1,3.8,7,0.22,0.38,53,32,108,38,2.09,13,0.71,0.08,21,14,17,36.8,8,52,2.86,495,1392,72
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,1,0,0.8,0.8,0.2,1.1,0.06,0.07,6,31,2,7,0.45,2,0.13,0.14,4,1,30,65,12,17,1.09,758,1752,83
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,0,0,0.5,0.5,0.3,0.8,0,0.06,10,77,0,15,1.07,3,0.21,0,8,4,25,73.1,19,21,1.5,621,1974,85
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,0,0,0,0,0,0.1,0,0.79,2,0,1,1,15,0,0,0,1,0,2,,0,1,15,5,23,0
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,2005,1,0,0.7,0.7,0.2,0.9,0.3,0.26,13,6,36,6,1.8,4,1.2,0.17,3,4,7,42.9,1,8,2.4,84,283,9
