Player,Player_Id,Nation,Pos,Age,Born,Squad,Comp,Gls,Gls_rank,Gls_norm,Ast,Ast_rank,Ast_norm,xG,xG_rank,xG_norm,npxG,npxG_rank,npxG_norm,xAG,xAG_rank,xAG_norm,PrgC,PrgC_rank,PrgC_norm,PrgP,PrgP_rank,PrgP_norm,Sh,Sh_rank,Sh_norm,Sh/90,Sh/90_rank,Sh/90_norm,SoT,SoT_rank,SoT_norm,SoT/90,SoT/90_rank,SoT/90_norm,G/Sh,G/Sh_rank,G/Sh_norm,KP,KP_rank,KP_norm,PPA,PPA_rank,PPA_norm,Tkl,Tkl_rank,Tkl_norm,Tkl%,Tkl%_rank,Tkl%_norm,Int,Int_rank,Int_norm,SCA,SCA_rank,SCA_norm,SCA90,SCA90_rank,SCA90_norm,Carries,Carries_rank,Carries_norm,PrgDist_stats_possession,PrgDist_stats_possession_rank,PrgDist_stats_possession_norm,Recov,Recov_rank,Recov_norm,total_minutes,total_minutes_rank,total_minutes_norm,image_url,sub_position,market_value
Aaron Cresswell,92571,England,DF,34,1989,West Ham,GB1,0,1231,0,0,1207,0,0.2,1651,0.007380074,0.2,1648,0.008333333,1.3,818,0.091549296,6,1569,0.028169014,36,1216,0.099447514,5,1514,0.032894737,0.55,1430,0.024444444,0,1706,0,0,1693,0,0,1194,0,9,1074,0.094736842,5,1240,0.045045045,11,1459,0.089430894,81.8,114,0.818,8,1092,0.1111111111111111,15,1382,0.074257426,1.64,1237,0.013145175,291,1423,0.1213005418924551,526,1582,0.0717012,36,1409,0.1417322834645669,586,1588,0.2100358422939068,https://img.a.transfermarkt.technology/portrait/header/92571-1700670925.jpg?lm=1,Left-Back,700000
Aaron Ramsdale,427568,England,GK,26,1998,Southampton,GB1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,0,2058,0,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,1,1707,0.009009009,0,2029,0,0,1948,0,2,1621,0.027777778,3,1917,0.014851485,0.1,2061,0.000801535,786,462,0.3276365152146728,2349,353,0.3202017448200654,23,1669,0.090551181,2070,370,0.7419354838709677,https://img.a.transfermarkt.technology/portrait/header/427568-1681828000.jpg?lm=1,Goalkeeper,16000000
Aaron Wan-Bissaka,477758,England,DF,26,1997,West Ham,GB1,2,564,0.064516129,5,136,0.2777777777777778,1.2,948,0.044280443,1.2,930,0.05,3.5,262,0.2464788732394366,110,49,0.5164319248826291,149,109,0.4116022099447514,16,879,0.1052631578947368,0.46,1538,0.020444444,5,790,0.066666667,0.14,1359,0.006277771,0.13,470,0.13,33,230,0.3473684210526316,35,146,0.3153153153153153,70,70,0.5691056910569106,71.9,251,0.7190000000000001,66,4,0.9166666666666666,93,127,0.4603960396039604,2.65,656,0.021240679,1092,154,0.4551896623593164,3661,82,0.4990458015267175,174,38,0.6850393700787402,2615,41,0.9372759856630823,https://img.a.transfermarkt.technology/portrait/header/477758-1617030255.jpg?lm=1,Right-Back,22000000
Aarón Martín,251878,Spain,DF,27,1997,Genoa,IT1,0,1231,0,8,30,0.4444444444444444,0.9,1100,0.033210332,0.9,1084,0.0375,5.5,86,0.3873239436619718,50,332,0.2347417840375587,90,475,0.2486187845303867,16,879,0.1052631578947368,0.47,1523,0.020888889,4,919,0.053333333,0.12,1418,0.005380947,0,1194,0,65,20,0.6842105263157895,30,216,0.2702702702702703,71,61,0.5772357723577236,64.7,467,0.647,19,511,0.2638888888888889,95,121,0.4702970297029702,2.77,610,0.022202521,878,339,0.365985827,2293,379,0.3125681570338059,146,112,0.5748031496062992,2539,73,0.9100358422939068,https://img.a.transfermarkt.technology/portrait/header/251878-1730126148.jpg?lm=1,Left-Back,6500000
Abakar Sylla,962555,Cote d'Ivoire,DF,21,2002,Strasbourg,FR1,1,812,0.032258065,0,1207,0,0.4,1458,0.014760148,0.4,1452,0.016666667,0.1,1698,0.007042254,0,1949,0,21,1488,0.05801105,5,1514,0.032894737,0.47,1523,0.020888889,1,1464,0.013333333,0.09,1539,0.00403571,0.2,180,0.2,1,1806,0.010526316,1,1707,0.009009009,27,832,0.2195121951219512,88.2,93,0.882,11,901,0.1527777777777778,4,1854,0.01980198,0.38,1918,0.003045833,425,1120,0.177157149,618,1475,0.084242094,39,1361,0.1535433070866141,918,1282,0.3290322580645161,https://img.a.transfermarkt.technology/portrait/header/962555-1732575720.png?lm=1,Centre-Back,12000000
Abdallah Sima,776798,Senegal,"FW,MF",23,2001,Brest,FR1,7,162,0.2258064516129032,2,465,0.1111111111111111,5.9,192,0.2177121771217712,5.9,169,0.2458333333333333,1,988,0.070422535,36,524,0.1690140845070422,24,1429,0.066298343,37,318,0.2434210526315789,2.69,213,0.1195555555555555,18,177,0.24,1.31,92,0.058742,0.19,222,0.19,13,847,0.1368421052631579,6,1147,0.054054054,15,1284,0.1219512195121951,36.4,1611,0.364,1,1767,0.013888889,28,982,0.1386138613861386,2.04,990,0.016351315,299,1395,0.1246352646936223,711,1390,0.096919302,61,964,0.2401574803149606,976,1236,0.3498207885304659,https://img.a.transfermarkt.technology/portrait/header/776798-1672669896.jpg?lm=1,Left Winger,10000000
Abde Ezzalzouli,724520,Morocco,"FW,MF",22,2001,Betis,ES1,2,564,0.064516129,2,465,0.1111111111111111,8,117,0.2952029520295203,7.2,115,0.3,2,555,0.1408450704225352,117,37,0.5492957746478874,68,712,0.1878453038674033,61,95,0.4013157894736842,2.7700000000000005,198,0.1231111111111111,25,84,0.3333333333333333,1.13,155,0.05067058,0.03,1164,0.03,27,334,0.2842105263157894,19,453,0.1711711711711711,37,547,0.3008130081300813,55.6,834,0.556,7,1162,0.097222222,66,291,0.3267326732673267,2.99,523,0.023965898,706,587,0.2942892872030012,3025,184,0.412350055,102,426,0.4015748031496063,1624,728,0.582078853,https://img.a.transfermarkt.technology/portrait/header/724520-1636969902.jpg?lm=1,Left Winger,12000000
Abdel Abqar,559979,Morocco,DF,25,1999,Alavés,ES1,0,1231,0,1,742,0.055555556,0.9,1100,0.033210332,0.9,1084,0.0375,0.3,1493,0.021126761,16,1102,0.075117371,79,580,0.218232044,12,1065,0.078947368,0.44,1573,0.019555556,1,1464,0.013333333,0.04,1654,0.001793649,0,1194,0,8,1137,0.084210526,10,852,0.09009009,36,572,0.2926829268292683,58.8,703,0.588,39,84,0.5416666666666666,25,1067,0.1237623762376237,0.91,1666,0.007293969,632,689,0.2634431012922051,2013,502,0.2744002181025082,87,596,0.3425196850393701,2391,141,0.8569892473118279,https://img.a.transfermarkt.technology/portrait/header/559979-1705337125.jpg?lm=1,Centre-Back,7500000
Abdou Harroui,416386,Morocco,"MF,FW",26,1998,Hellas Verona,IT1,1,812,0.032258065,2,465,0.1111111111111111,2.2,626,0.081180812,2.2,596,0.091666667,0.4,1415,0.028169014,23,840,0.107981221,21,1488,0.05801105,15,922,0.098684211,2.92,163,0.1297777777777777,4,919,0.053333333,0.78,391,0.034976153,0.07,908,0.07,4,1466,0.042105263,3,1449,0.027027027,9,1553,0.073170732,100,1,1,2,1621,0.027777778,15,1382,0.074257426,2.92,549,0.023404824,175,1701,0.072947061,631,1459,0.086014177,22,1677,0.086614173,462,1693,0.1655913978494623,https://img.a.transfermarkt.technology/portrait/header/416386-1730186775.jpg?lm=1,Central Midfield,2000000
Abdoul Koné,1130445,France,DF,19,2005,Reims,FR1,0,1231,0,0,1207,0,0,1876,0,0,1875,0,0,1854,0,0,1949,0,3,1913,0.008287293,0,1941,0,0,1931,0,0,1706,0,0,1693,0,,,,0,1952,0,0,1887,0,5,1746,0.040650407,60,629,0.6,1,1767,0.013888889,1,2021,0.004950495,0.68,1788,0.005450438,39,2084,0.016256774,25,2158,0.003407852,7,2002,0.027559055,119,2035,0.04265233,https://img.a.transfermarkt.technology/portrait/header/1130445-1723838146.png?lm=1,Centre-Back,500000
Abdoulaye Bamba,62351,Cote d'Ivoire,DF,34,1990,Angers,FR1,0,1231,0,0,1207,0,0.1,1756,0.003690037,0.1,1755,0.004166667,0.3,1493,0.021126761,1,1870,0.004694836,16,1602,0.044198895,1,1845,0.006578947,0.06,1917,0.002666667,0,1706,0,0,1693,0,0,1194,0,6,1297,0.063157895,4,1337,0.036036036,22,1014,0.1788617886178861,73.7,221,0.737,19,511,0.2638888888888889,10,1580,0.04950495,0.6,1824,0.00480921,408,1146,0.1700708628595248,641,1451,0.087377317,47,1200,0.1850393700787401,1241,1024,0.4448028673835125,https://img.a.transfermarkt.technology/portrait/header/62351-1588852339.jpg?lm=1,Centre-Back,350000
